iter	Passed	Remaining
0	3	1272
1	5	1150
2	7	1070
3	9	1026
4	12	999
5	14	994
6	16	989
7	19	980
8	21	971
9	23	964
10	25	957
11	28	952
12	30	946
13	32	938
14	34	936
15	37	933
16	39	927
17	41	925
18	43	924
19	46	922
20	48	922
21	51	921
22	53	919
23	55	920
24	58	919
25	60	919
26	63	917
27	65	916
28	67	913
29	70	911
30	71	899
31	74	897
32	76	895
33	79	894
34	81	892
35	83	890
36	86	888
37	88	887
38	90	885
39	93	883
40	95	882
41	98	880
42	100	877
43	102	875
44	105	872
45	107	871
46	109	870
47	112	868
48	114	867
49	117	865
50	119	864
51	122	862
52	124	861
53	127	859
54	129	857
55	131	855
56	134	853
57	137	852
58	140	854
59	142	853
60	145	852
61	147	850
62	150	848
63	152	847
64	155	847
65	158	846
66	160	845
67	163	845
68	166	843
69	169	842
70	171	841
71	174	840
72	177	839
73	179	837
74	182	836
75	185	835
76	187	834
77	190	832
78	193	831
79	195	829
80	198	829
81	201	828
82	204	826
83	206	824
84	209	823
85	212	821
86	214	820
87	217	819
88	220	817
89	223	815
90	225	813
91	228	812
92	231	810
93	233	808
94	236	806
95	239	804
96	241	802
97	244	801
98	247	799
99	249	797
100	252	795
101	255	792
102	257	790
103	260	789
104	263	787
105	265	785
106	268	782
107	271	781
108	273	778
109	276	776
110	279	775
111	282	773
112	284	770
113	287	768
114	289	765
115	291	762
116	294	760
117	296	757
118	299	754
119	302	752
120	304	750
121	307	747
122	309	744
123	311	742
124	314	739
125	316	736
126	319	734
127	321	731
128	324	729
129	327	727
130	329	725
131	332	723
132	335	721
133	338	719
134	340	716
135	343	714
136	345	712
137	348	709
138	350	706
139	353	704
140	356	702
141	358	699
142	361	697
143	364	695
144	366	693
145	369	690
146	372	688
147	374	685
148	377	683
149	379	680
150	382	678
151	384	675
152	387	673
153	390	672
154	393	670
155	395	667
156	398	664
157	400	662
158	403	659
159	406	657
160	408	655
161	411	652
162	413	649
163	416	647
164	418	644
165	421	642
166	423	639
167	426	637
168	429	634
169	431	632
170	434	629
171	436	627
172	439	624
173	441	621
174	444	619
175	446	616
176	449	614
177	451	611
178	454	609
179	456	606
180	459	603
181	461	601
182	464	598
183	466	596
184	469	593
185	471	591
186	474	588
187	477	586
188	479	583
189	482	581
190	484	578
191	487	575
192	489	573
193	492	570
194	494	568
195	497	565
196	499	563
197	502	560
198	505	558
199	507	556
200	510	554
201	513	551
202	515	548
203	518	546
204	520	543
205	523	541
206	526	538
207	529	536
208	531	534
209	533	531
210	536	528
211	538	526
212	541	523
213	543	520
214	546	518
215	548	515
216	551	513
217	554	510
218	556	508
219	558	505
220	561	503
221	563	500
222	566	497
223	568	494
224	571	492
225	573	490
226	576	487
227	578	484
228	581	482
229	583	479
230	586	477
231	588	474
232	591	472
233	593	469
234	596	466
235	599	464
236	601	461
237	604	459
238	606	456
239	608	454
240	611	451
241	613	448
242	616	446
243	618	443
244	621	441
245	623	438
246	626	435
247	628	433
248	630	430
249	633	428
250	635	425
251	638	422
252	640	420
253	643	417
254	645	415
255	648	412
256	650	410
257	653	407
258	655	405
259	658	402
260	660	400
261	663	397
262	665	395
263	668	392
264	670	389
265	673	387
266	675	384
267	678	382
268	680	379
269	683	377
270	685	374
271	688	371
272	690	369
273	693	366
274	695	364
275	698	361
276	700	359
277	703	356
278	705	354
279	708	351
280	710	349
281	713	346
282	715	343
283	718	341
284	720	338
285	723	336
286	726	333
287	728	331
288	730	328
289	733	326
290	735	323
291	738	321
292	740	318
293	743	315
294	745	313
295	748	311
296	751	308
297	754	306
298	757	303
299	759	301
300	762	299
301	765	296
302	768	294
303	771	291
304	773	289
305	776	286
306	779	284
307	782	281
308	784	279
309	787	276
310	790	274
311	792	271
312	795	269
313	798	266
314	801	264
315	803	261
316	806	259
317	808	256
318	811	254
319	813	251
320	816	249
321	818	246
322	821	244
323	823	241
324	826	239
325	829	236
326	831	234
327	834	231
328	836	228
329	839	226
330	841	223
331	844	221
332	846	218
333	849	216
334	851	213
335	854	211
336	856	208
337	859	205
338	861	203
339	864	200
340	867	198
341	870	195
342	872	193
343	875	190
344	878	188
345	880	185
346	882	183
347	885	180
348	887	178
349	890	175
350	892	172
351	895	170
352	898	168
353	901	165
354	903	162
355	906	160
356	908	157
357	911	155
358	914	152
359	916	150
360	919	147
361	922	145
362	924	142
363	927	140
364	929	137
365	931	134
366	934	132
367	936	129
368	939	127
369	941	124
370	944	122
371	946	119
372	949	117
373	951	114
374	954	111
375	956	109
376	958	106
377	961	104
378	963	101
379	966	99
380	968	96
381	971	94
382	973	91
383	976	88
384	978	86
385	981	83
386	983	81
387	986	78
388	988	76
389	991	73
390	993	71
391	996	68
392	998	66
393	1000	63
394	1003	60
395	1005	58
396	1007	55
397	1010	53
398	1012	50
399	1015	48
400	1017	45
401	1020	43
402	1022	40
403	1025	38
404	1027	35
405	1029	32
406	1032	30
407	1035	27
408	1037	25
409	1040	22
410	1042	20
411	1044	17
412	1046	15
413	1049	12
414	1052	10
415	1054	7
416	1057	5
417	1059	2
418	1061	0
